TIME,CH2
-1.70E-02,0.6
-1.68E-02,0.52
-1.66E-02,0.6
-1.64E-02,0.28
-1.62E-02,0.36
-1.60E-02,0.32
-1.58E-02,0.44
-1.56E-02,0.44
-1.54E-02,0.6
-1.52E-02,0.64
-1.50E-02,0.64
-1.48E-02,0.48
-1.46E-02,0.4
-1.44E-02,0.36
-1.42E-02,0.4
-1.40E-02,0.8
-1.38E-02,0.52
-1.36E-02,0.32
-1.34E-02,0.52
-1.32E-02,0.8
-1.30E-02,0.56
-1.28E-02,0.48
-1.26E-02,0.32
-1.24E-02,0.28
-1.22E-02,0.4
-1.20E-02,0.52
-1.18E-02,0.72
-1.16E-02,0.36
-1.14E-02,0.76
-1.12E-02,0.8
-1.10E-02,0.52
-1.08E-02,0.4
-1.06E-02,0.36
-1.04E-02,0.8
-1.02E-02,0.6
-1.00E-02,0.44
-9.80E-03,0.48
-9.60E-03,0.52
-9.40E-03,0.44
-9.20E-03,0.36
-9.00E-03,0.56
-8.80E-03,0.6
-8.60E-03,0.6
-8.40E-03,0.44
-8.20E-03,0.48
-8.00E-03,0.64
-7.80E-03,0.48
-7.60E-03,0.56
-7.40E-03,0.72
-7.20E-03,0.48
-7.00E-03,0.48
-6.80E-03,0.64
-6.60E-03,0.4
-6.40E-03,0.4
-6.20E-03,0.32
-6.00E-03,0.4
-5.80E-03,0.52
-5.60E-03,0.36
-5.40E-03,0.44
-5.20E-03,0.48
-5.00E-03,0.6
-4.80E-03,0.32
-4.60E-03,0.4
-4.40E-03,0.72
-4.20E-03,0.6
-4.00E-03,0.6
-3.80E-03,0.4
-3.60E-03,0.56
-3.40E-03,0.52
-3.20E-03,0.6
-3.00E-03,0.8
-2.80E-03,0.68
-2.60E-03,0.44
-2.40E-03,0.32
-2.20E-03,0.8
-2.00E-03,0.84
-1.80E-03,0.76
-1.60E-03,0.24
-1.40E-03,0.48
-1.20E-03,0.64
-1.00E-03,0.36
-8.00E-04,0.8
-6.00E-04,0.56
-4.00E-04,0.6
-2.00E-04,0.6
0.00E+00,4.88
2.00E-04,5
4.00E-04,4.96
6.00E-04,4.88
8.00E-04,0.64
1.00E-03,0.64
1.20E-03,0.48
1.40E-03,0.56
1.60E-03,0.68
1.80E-03,0.44
2.00E-03,0.56
2.20E-03,0.48
2.40E-03,0.36
2.60E-03,0.64
2.80E-03,0.48
3.00E-03,5
3.20E-03,5.08
3.40E-03,4.96
3.60E-03,4.8
3.80E-03,4.88
4.00E-03,4.96
4.20E-03,5.04
4.40E-03,5.2
4.60E-03,5
4.80E-03,5.12
5.00E-03,5.04
5.20E-03,5
5.40E-03,4.84
5.60E-03,4.96
5.80E-03,5
6.00E-03,4.96
6.20E-03,5.12
6.40E-03,4.88
6.60E-03,4.84
6.80E-03,5.16
7.00E-03,5.08
7.20E-03,4.88
7.40E-03,5.12
7.60E-03,4.96
7.80E-03,5.04
8.00E-03,4.92
8.20E-03,4.92
8.40E-03,4.92
8.60E-03,5
8.80E-03,4.96
9.00E-03,4.96
9.20E-03,0.72
9.40E-03,0.52
9.60E-03,0.68
9.80E-03,0.6
1.00E-02,0.52
1.02E-02,0.52
1.04E-02,0.36
1.06E-02,0.32
1.08E-02,0.52
1.10E-02,0.44
1.12E-02,0.88
1.14E-02,0.6
1.16E-02,0.48
1.18E-02,0.52
1.20E-02,0.76
1.22E-02,0.44
1.24E-02,0.4
1.26E-02,0.8
1.28E-02,0.24
1.30E-02,0.8
1.32E-02,0.36
1.34E-02,0.52
1.36E-02,5.04
1.38E-02,5
1.40E-02,4.96
1.42E-02,0.72
1.44E-02,0.6
1.46E-02,0.44
1.48E-02,0.44
1.50E-02,0.64
1.52E-02,0.8
1.54E-02,0.36
1.56E-02,0.28
1.58E-02,5.08
1.60E-02,4.92
1.62E-02,5
1.64E-02,0.76
1.66E-02,0.32
1.68E-02,0.72
1.70E-02,4.96
1.72E-02,5.08
1.74E-02,4.96
1.76E-02,0.36
1.78E-02,0.36
1.80E-02,4.8
1.82E-02,4.96
1.84E-02,5
1.86E-02,4.96
1.88E-02,0.44
1.90E-02,0.56
1.92E-02,4.96
1.94E-02,4.92
1.96E-02,5
1.98E-02,0.64
2.00E-02,0.68
2.02E-02,0.72
2.04E-02,5
2.06E-02,4.96
2.08E-02,4.88
2.10E-02,0.8
2.12E-02,0.72
2.14E-02,5
2.16E-02,4.96
2.18E-02,4.88
2.20E-02,0.56
2.22E-02,0.4
2.24E-02,0.32
2.26E-02,4.88
2.28E-02,5.04
2.30E-02,5.04
2.32E-02,0.44
2.34E-02,0.44
2.36E-02,0.64
2.38E-02,0.52
2.40E-02,0.36
2.42E-02,0.48
2.44E-02,0.48
2.46E-02,0.68
2.48E-02,4.96
2.50E-02,4.92
2.52E-02,4.96
2.54E-02,0.84
2.56E-02,0.4
2.58E-02,0.64
2.60E-02,5.04
2.62E-02,5
2.64E-02,5.12
2.66E-02,0.52
2.68E-02,0.36
2.70E-02,0.68
2.72E-02,0.64
2.74E-02,0.76
2.76E-02,0.56
2.78E-02,0.76
2.80E-02,0.6
2.82E-02,5
2.84E-02,4.96
2.86E-02,5.08
2.88E-02,0.56
2.90E-02,0.64
2.92E-02,0.48
2.94E-02,5.12
2.96E-02,5.04
2.98E-02,4.96
3.00E-02,0.6
3.02E-02,0.28
3.04E-02,0.56
3.06E-02,0.48
3.08E-02,0.56
3.10E-02,0.72
3.12E-02,0.48
3.14E-02,0.68
3.16E-02,5.12
3.18E-02,4.96
3.20E-02,5.12
3.22E-02,0.52
3.24E-02,0.76
3.26E-02,0.44
3.28E-02,5.04
3.30E-02,4.92
3.32E-02,5.04
3.34E-02,0.32
3.36E-02,0.32
3.38E-02,0.56
3.40E-02,0.36
3.42E-02,0.6
3.44E-02,0.68
3.46E-02,0.48
3.48E-02,0.48
3.50E-02,4.84
3.52E-02,5.08
3.54E-02,4.92
3.56E-02,0.68
3.58E-02,0.36
3.60E-02,0.76
3.62E-02,0.68
3.64E-02,0.72
3.66E-02,0.72
3.68E-02,0.76
3.70E-02,0.52
3.72E-02,5
3.74E-02,5.08
3.76E-02,4.92
3.78E-02,5
3.80E-02,0.8
3.82E-02,0.8
3.84E-02,4.96
3.86E-02,5
3.88E-02,5
3.90E-02,0.36
3.92E-02,0.44
3.94E-02,0.6
3.96E-02,5.08
3.98E-02,5.12
4.00E-02,4.88
4.02E-02,0.48
4.04E-02,0.68
4.06E-02,0.48
4.08E-02,0.44
4.10E-02,0.52
4.12E-02,0.52
4.14E-02,0.72
4.16E-02,0.72
4.18E-02,4.76
4.20E-02,5
4.22E-02,4.96
4.24E-02,0.4
4.26E-02,0.72
4.28E-02,0.24
4.30E-02,5.04
4.32E-02,4.76
4.34E-02,5
4.36E-02,0.72
4.38E-02,0.44
4.40E-02,4.96
4.42E-02,5
4.44E-02,5.04
4.46E-02,5.12
4.48E-02,0.48
4.50E-02,0.8
4.52E-02,0.72
4.54E-02,0.4
4.56E-02,0.48
4.58E-02,0.4
4.60E-02,0.56
4.62E-02,0.48
4.64E-02,5.16
4.66E-02,5.16
4.68E-02,5.12
4.70E-02,0.48
4.72E-02,0.36
4.74E-02,4.8
4.76E-02,4.96
4.78E-02,4.92
4.80E-02,0.52
4.82E-02,0.4
4.84E-02,0.52
4.86E-02,5.04
4.88E-02,4.8
4.90E-02,5
4.92E-02,0.56
4.94E-02,0.44
4.96E-02,0.32
4.98E-02,5.04
5.00E-02,5
5.02E-02,5.04
5.04E-02,0.56
5.06E-02,0.4
5.08E-02,0.72
5.10E-02,0.32
5.12E-02,0.76
5.14E-02,0.6
5.16E-02,0.68
5.18E-02,0.48
5.20E-02,5.08
5.22E-02,4.96
5.24E-02,5
5.26E-02,0.8
5.28E-02,0.72
5.30E-02,0.72
5.32E-02,5
5.34E-02,4.92
5.36E-02,4.8
5.38E-02,0.72
5.40E-02,0.52
5.42E-02,0.56
5.44E-02,0.32
5.46E-02,0.52
5.48E-02,0.48
5.50E-02,0.4
5.52E-02,0.48
5.54E-02,5.04
5.56E-02,5.08
5.58E-02,5
5.60E-02,0.52
5.62E-02,0.44
5.64E-02,0.32
5.66E-02,0.52
5.68E-02,0.76
5.70E-02,0.52
5.72E-02,0.56
5.74E-02,0.48
5.76E-02,4.8
5.78E-02,5.12
5.80E-02,5
5.82E-02,0.48
5.84E-02,0.68
5.86E-02,0.48
5.88E-02,4.96
5.90E-02,5
5.92E-02,5.08
5.94E-02,0.68
5.96E-02,0.48
5.98E-02,0.32
6.00E-02,0.76
6.02E-02,0.52
6.04E-02,0.68
6.06E-02,0.48
6.08E-02,0.76
6.10E-02,5.04
6.12E-02,5.04
6.14E-02,4.92
6.16E-02,0.44
6.18E-02,0.48
6.20E-02,0.68
6.22E-02,0.44
6.24E-02,0.44
6.26E-02,0.68
6.28E-02,0.44
6.30E-02,0.48
6.32E-02,4.96
6.34E-02,4.8
6.36E-02,4.96
6.38E-02,5.04
6.40E-02,0.8
6.42E-02,0.64
6.44E-02,0.4
6.46E-02,0.64
6.48E-02,0.28
6.50E-02,0.4
6.52E-02,0.56
6.54E-02,0.24
6.56E-02,5.12
6.58E-02,5.08
6.60E-02,5.04
6.62E-02,0.6
6.64E-02,0.44
6.66E-02,0.64
6.68E-02,0.4
6.70E-02,0.8
6.72E-02,0.48
6.74E-02,0.52
6.76E-02,0.6
6.78E-02,0.56
6.80E-02,0.56
6.82E-02,0.68
6.84E-02,0.44
6.86E-02,0.44
6.88E-02,0.48
6.90E-02,0.48
6.92E-02,0.84
6.94E-02,0.48
6.96E-02,0.32
6.98E-02,0.48
7.00E-02,0.48
7.02E-02,0.64
7.04E-02,0.68
7.06E-02,0.44
7.08E-02,0.32
7.10E-02,0.6
7.12E-02,0.68
7.14E-02,0.6
7.16E-02,0.76
7.18E-02,0.52
7.20E-02,0.48
7.22E-02,0.52
7.24E-02,0.56
7.26E-02,0.4
7.28E-02,0.48
7.30E-02,0.56
7.32E-02,0.44
7.34E-02,0.48
7.36E-02,0.28
7.38E-02,0.4
7.40E-02,0.48
7.42E-02,0.4
7.44E-02,0.76
7.46E-02,0.48
7.48E-02,0.4
7.50E-02,0.72
7.52E-02,0.72
7.54E-02,0.36
7.56E-02,0.72
7.58E-02,0.2
7.60E-02,0.52
7.62E-02,0.4
7.64E-02,0.64
7.66E-02,0.36
7.68E-02,0.4
7.70E-02,0.84
7.72E-02,0.6
7.74E-02,0.76
7.76E-02,0.56
7.78E-02,0.84
7.80E-02,0.4
7.82E-02,0.24
7.84E-02,0.4
7.86E-02,0.24
7.88E-02,0.6
7.90E-02,0.72
7.92E-02,0.44
7.94E-02,0.8
7.96E-02,0.48
7.98E-02,0.72
8.00E-02,0.36
8.02E-02,0.52
8.04E-02,0.48
8.06E-02,0.32
8.08E-02,0.6
8.10E-02,0.64
8.12E-02,0.76
8.14E-02,0.28
8.16E-02,0.44
8.18E-02,0.44
8.20E-02,0.32
8.22E-02,0.44
8.24E-02,0.48
8.26E-02,0.52
8.28E-02,0.48
